見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「産業と美術のあいだで印刷術が拓（ひら）いた楽園」,展示,～6月24日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018-春夏 特集「庭園の眺め　高橋力雄の木版画」／「滋賀県立近代美術館所蔵　院展の画家たちⅡ」,展示,～7月8日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「博物館でいきものめぐり」,展示,6月9日（土）～7月8日（日）,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,■和歌山県内埋蔵文化財調査成果展「紀州のあゆみ～発掘された郷土の歴史～」 ,展示,6月2日（土）～7月1日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしえて!!ヤマゲン先生(2)万葉歌と古代の草木花ガイド,イベント,6月30日（土）10:00～12:00,,小学生以上,30人（先着順）,,6月14日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしゃべり考古学(2),イベント,7月13日（金）13:30～15:00,,15歳以上,30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,ウミガメの産卵みれるかな,イベント,6月29日（金）19:00～22:00,千里の浜（みなべ町）,18歳以上,20人（抽選）,,6月15日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,植物標本を作ってみよう,イベント,7月24日（火）10:00～12:00,宇久井ビジターセンター（那智勝浦町）,小学生以上（小学生は保護者同伴）,20人（抽選）,,7月10日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,スタイナート・ジャパンツアー2018,イベント,6月16日（土）13:00～（プレコンサート12:30～）,,,250人（先着順）,"3,500円（前売り3,000円）",,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,6月16・23日、7月14日（土）14:00～7月7日（土）11:00～ ,,,,,,入場無料
